param N_g := 10;
param N_t := 3;
param N_T := 12;
param ramp_single := 1;
param reserve_single := 1;

param storage_capacity := 25;
param storage_duration := 48;
param storage_sinit := 1200;
param storage_pinit := 0;

param Cost :=
1 185.0
2 30.0
3 55.0
4 15.0
5 20.0
6 19.5
7 48.0
8 60.0
9 57.0
10 50.0
;

param Capacity :=
1 22.0
2 170.0
3 85.0
4 230.0
5 613.0
6 686.0
7 45.0
8 50.0
9 260.0
10 400.0
;

param Ramp_lim :=
1 75.0
2 175.0
3 75.0
4 75.0
5 375.0
6 100.0
7 100.0
8 50.0
9 50.0
10 125.0
;

param Load :=
1 1742.0
2 1703.2
3 1630.2
4 1566.7
5 1735.7
6 1749.0
7 1767.2
8 1767.2
9 1767.2
10 1767.2
11 1720.2
12 1530.0
;



param Gen_init :=
1 22.0
2 12.0
3 85.0
4 230.0
5 0.0
6 686.0
7 45.0
8 50.0
9 0.0
10 400.0
;


